file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
BC29071-2024-11-07.z,-3890.558949,18988.56218,20221.06383,1.03E-11,7.17E-12,0.977234,1097569.424,-3142.010353,1.57E-11,1.10E-11,0.1,1.261566261,0.159154943,0.5,10,2666870226,4.73E-11,5.97E-12,2657.957302,8.36E-06,1.19E-08,0.367481,5023.217696,116666.5491,1.64E-07,2.34E-10,100000000,0.00314922,0.858264,1.905504,18479.25711,310212.4124,0.030761726,0.58931592,2.233993539,21503.90333,3382.709006,612.06859,192.8658356,71.98166568,50.44734817,32.98273326,18.1433093,10.08625871,4.43589005,Parallel Circuit,D,5.89E-05,1000000,0.02512,2025-09-11 16:59
BC29072-2024-11-07.z,-43819.96234,454427.3118,475485.1961,6.28E-09,1.89E-11,0.500483,17668.87914,-39781.58404,7.62E-09,2.30E-11,0.1,1.261566261,0.159154943,0.5,10,1.86E+12,6.77E-14,8.54E-15,22761.97804,8.09E-06,2.05E-06,0.552295,3.41050743,8617902.928,2.03E-08,5.14E-09,100000000,3.87E-05,0.205567,0.113171,479381.1075,13364609.47,0.047127936,1.704148199,6.607685716,514320.2388,81724.35147,23350.29522,13895.14409,6003.002156,4016.779909,2442.882039,1234.064337,651.6616377,276.4425543,Parallel Circuit,B,0.001262034,1000000,0.0631,2025-09-11 17:00
BC29074-2024-11-07.z,-24036.04453,60092.36798,77534.14462,6.76E-11,3.03E-12,0.796568,678000.4779,-16584.72822,1.42E-10,6.36E-12,0.1,1.261566261,0.159154943,0.5,10,28620520630,4.41E-12,5.56E-13,6594.167886,3.17E-05,1.14E-06,0.319947,21.22266897,487526.7936,3.82E-07,1.37E-08,100000000,0.00081066,0.890609,1.999108,57295.50327,528107.7217,0.062947611,3.581599814,11.58633037,67257.217,12211.8862,4054.588375,2297.678891,1152.886064,865.1527089,600.6582831,348.212091,198.951889,89.08759294,Parallel Circuit,D,0.000872821,1000000,0.02512,2025-09-11 17:01
BC29076-2024-11-07.z,-26378.37269,88232.39977,101155.8491,2.20E-10,3.85E-12,0.725727,408861.2951,-19499.69438,4.03E-10,7.04E-12,0.1,1.261566261,0.159154943,0.5,10,55916784592,2.26E-12,2.85E-13,13454.82334,8.37E-06,1.19E-07,0.33898,99.74887356,490367.272,1.95E-07,2.76E-09,100000000,0.002012765,0.583776,1.869945,86537.72042,1021328.646,0.071590432,2.999558533,10.16269103,98671.42231,19482.60733,6719.900602,3442.055338,1530.300806,1113.981373,752.653982,425.9724909,240.3371425,106.7316485,Parallel Circuit,D,0.001004202,1000000,0.02512,2025-09-11 17:01
BC29080-2024-11-07.z,-51613.70081,130402.8364,167609.2567,3.31E-11,1.61E-12,0.800246,588283.9503,-35719.74504,6.91E-11,3.37E-12,0.1,1.261566261,0.159154943,0.5,10,1.35E+11,9.38E-13,1.18E-13,14407.18059,2.91E-05,8.08E-07,0.194873,13.66639598,1049904.417,3.56E-07,9.87E-09,100000000,0.000334955,0.654887,2.015943,122423.1953,26746730.7,0.049737818,4.26883208,12.70431153,144497.2838,24011.88694,6888.126247,4091.005479,2451.636466,1961.847127,1455.766689,902.2657739,535.6863238,246.3451891,Parallel Circuit,D,0.00201365,1000000,0.02512,2025-09-11 17:02
BC29082-2024-11-07.z,-93263.56235,1454437.671,1298679.544,3.72E-10,5.02E-12,0.63939,24417.54518,-86565.91927,4.32E-10,5.83E-12,0.1,1.261566261,0.159154943,0.5,10,1.45E+13,8.68E-15,1.10E-15,249021.589,1.57E-06,1.35E-07,0.277381,4.717196852,7040363.714,4.60E-08,3.97E-09,100000000,2.87E-05,0.426916,2.02461,1350132.866,1553814273,0.09520248,8.298050702,25.22949802,1590895.364,337835.7357,146739.8214,97505.71908,56145.39383,43989.09741,31853.04146,19219.68098,11226.29412,5102.661223,Parallel Circuit,B,0.006219608,1000000,0.1,2025-09-11 17:02
BC29083-2024-11-07.z,-64725.4383,163333.6913,205653.9238,6.29E-10,2.00E-12,0.608826,387152.4394,-44354.40775,1.34E-09,4.26E-12,0.1,1.261566261,0.159154943,0.5,10,1.99E+11,6.35E-13,8.01E-14,22405.10585,1.31E-05,3.56E-07,0.253491,19.95694222,1027372.342,2.47E-07,6.70E-09,100000000,0.004761875,0.718279,-0.252507,159122.1393,9651447.514,0.068209677,5.11073872,15.70913055,181064.3416,33851.40413,11872.29261,7185.472835,3988.039074,3103.911685,2237.484833,1346.659423,786.0645309,357.2319896,Parallel Circuit,B,0.002321261,1000000,0.02512,2025-09-11 17:12
file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
file,Rinf,R0,Rh,Qh,Ch,Ph,Fh,pRh,pQh,pCh,Rm,Qm,Cm,Pm,Fm,pRm,pQm,pCm,Rl,Ql,Cl,Pl,Fl,pRl,pQl,pCl,Re,Qe,Pef,Pei,Res.1Hz,mismatch,m0,mx,mt,Vp,V(.1ms),V(1ms),V(10),V(100),V(200),V(400),V(800),V(1.2s),V(1.6s),model,comment,Linf,Fhigh,Flow,date/time
